-4.284426,1,1,0.000000,0.000000,
-4.247652,2,3,0.000001,0.000001,
-4.210878,2,5,0.000001,0.000002,
-4.174105,2,7,0.000001,0.000003,
-4.137331,2,9,0.000001,0.000004,
-4.100557,4,13,0.000002,0.000006,
-4.063784,4,17,0.000002,0.000008,
-4.027010,4,21,0.000002,0.000010,
-3.990236,3,24,0.000001,0.000011,
-3.953462,6,30,0.000003,0.000014,
-3.916689,6,36,0.000003,0.000017,
-3.879915,6,42,0.000003,0.000019,
-3.843141,6,48,0.000003,0.000022,
-3.806368,10,58,0.000005,0.000027,
-3.769594,10,68,0.000005,0.000031,
-3.732820,10,78,0.000005,0.000036,
-3.696047,17,95,0.000008,0.000044,
-3.659273,18,113,0.000008,0.000052,
-3.622499,20,133,0.000009,0.000062,
-3.585725,20,153,0.000009,0.000071,
-3.548952,28,181,0.000013,0.000084,
-3.512178,38,219,0.000018,0.000101,
-3.475404,42,261,0.000019,0.000121,
-3.438631,56,317,0.000026,0.000147,
-3.401857,56,373,0.000026,0.000173,
-3.365083,93,466,0.000043,0.000216,
-3.328309,94,560,0.000043,0.000259,
-3.291536,185,745,0.000086,0.000345,
-3.254762,405,1150,0.000187,0.000532,
-3.217988,288,1438,0.000133,0.000665,
-3.181215,429,1867,0.000198,0.000863,
-3.144441,348,2215,0.000161,0.001024,
-3.107667,499,2714,0.000231,0.001255,
-3.070894,422,3136,0.000195,0.001450,
-3.034120,490,3626,0.000227,0.001677,
-2.997346,558,4184,0.000258,0.001935,
-2.960572,885,5069,0.000409,0.002344,
-2.923799,991,6060,0.000458,0.002803,
-2.887025,935,6995,0.000432,0.003235,
-2.850251,1188,8183,0.000549,0.003785,
-2.813478,1293,9476,0.000598,0.004383,
-2.776704,1579,11055,0.000730,0.005113,
-2.739930,1695,12750,0.000784,0.005897,
-2.703157,1915,14665,0.000886,0.006783,
-2.666383,2414,17079,0.001116,0.007899,
-2.629609,2690,19769,0.001244,0.009143,
-2.592835,2886,22655,0.001335,0.010478,
-2.556062,3534,26189,0.001634,0.012112,
-2.519288,3879,30068,0.001794,0.013906,
-2.482514,4520,34588,0.002091,0.015997,
-2.445741,5171,39759,0.002392,0.018389,
-2.408967,5611,45370,0.002595,0.020984,
-2.372193,6536,51906,0.003023,0.024007,
-2.335420,7552,59458,0.003493,0.027499,
-2.298646,8294,67752,0.003836,0.031335,
-2.261872,9347,77099,0.004323,0.035658,
-2.225098,10702,87801,0.004950,0.040608,
-2.188325,11883,99684,0.005496,0.046104,
-2.151551,13616,113300,0.006297,0.052401,
-2.114777,14546,127846,0.006728,0.059129,
-2.078004,17160,145006,0.007937,0.067065,
-2.041230,18614,163620,0.008609,0.075674,
-2.004456,20825,184445,0.009632,0.085306,
-1.967682,23109,207554,0.010688,0.095994,
-1.930909,25676,233230,0.011875,0.107869,
-1.894135,28867,262097,0.013351,0.121220,
-1.857361,31722,293819,0.014671,0.135891,
-1.820588,35477,329296,0.016408,0.152300,
-1.783814,39504,368800,0.018271,0.170570,
-1.747040,43807,412607,0.020261,0.190831,
-1.710267,47491,460098,0.021965,0.212796,
-1.673493,51290,511388,0.023722,0.236517,
-1.636719,55421,566809,0.025632,0.262149,
-1.599945,59589,626398,0.027560,0.289709,
-1.563172,63385,689783,0.029316,0.319025,
-1.526398,67256,757039,0.031106,0.350131,
-1.489624,70625,827664,0.032664,0.382795,
-1.452851,74408,902072,0.034414,0.417209,
-1.416077,77503,979575,0.035845,0.453054,
-1.379303,80180,1059755,0.037083,0.490137,
-1.342530,82608,1142363,0.038206,0.528343,
-1.305756,84601,1226964,0.039128,0.567471,
-1.268982,86104,1313068,0.039823,0.607295,
-1.232208,86814,1399882,0.040152,0.647446,
-1.195435,87241,1487123,0.040349,0.687795,
-1.158661,86925,1574048,0.040203,0.727998,
-1.121887,85217,1659265,0.039413,0.767411,
-1.085114,83893,1743158,0.038801,0.806211,
-1.048340,80473,1823631,0.037219,0.843430,
-1.011566,77532,1901163,0.035859,0.879289,
-0.974792,70149,1971312,0.032444,0.911733,
-0.938019,65235,2036547,0.030171,0.941904,
-0.901245,52655,2089202,0.024353,0.966257,
-0.864471,30243,2119445,0.013987,0.980244,
-0.827698,17946,2137391,0.008300,0.988544,
-0.790924,11026,2148417,0.005100,0.993644,
-0.754150,6935,2155352,0.003207,0.996851,
-0.717377,3881,2159233,0.001795,0.998646,
-0.680603,2266,2161499,0.001048,0.999694,
-0.643829,661,2162160,0.000306,1.000000,
